"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Judge, Aaron","592450","2024","424",25,17,".461",".468",38.1,27.6,61.5,"107.492074583","99.303655397",32.7,42.7
"De La Cruz, Bryan","650559","2024","409",26.4,5.9,".303",".329",35.4,11.3,43.1,"100.215884672","94.419823187",29.6,53.4
"Guerrero Jr., Vladimir","665489","2024","415",16.1,9.6,".355",".383",31.7,12.4,56.1,"105.956118684","97.910540428",23,47.5
"Alvarez, Yordan","670541","2024","393",15.3,10.4,".386",".397",34.2,13.7,46.1,"103.48301007","96.249423216",20.3,47.1
"Chisholm Jr., Jazz","665862","2024","393",25.2,8.9,".315",".309",29.3,10.9,36.5,"99.51509871","94.079751613",28.5,47.7
"Freeman, Freddie","518692","2024","425",15.3,13.4,".380",".377",43.1,9.8,40.3,"100.256682635","94.482805322",20.2,49
"Vierling, Matt","663837","2024","335",23.6,4.8,".312",".319",37.8,10.1,43.2,"101.165841966","94.899565556",20.7,44.4
"Bell, Josh","605137","2024","396",19.9,6.8,".284",".294",31,7,38.4,"99.506801277","93.827523156",27.7,50.4
"Tovar, Ezequiel","678662","2024","419",28.4,3.3,".328",".276",36.9,7.8,38.3,"98.729433986","93.653538727",33.9,62.4
"Marte, Ketel","606466","2024","409",17.1,9.8,".371",".384",34.8,10.1,53.4,"103.560878776","96.708071837",22.2,49
"Rafaela, Ceddanne","678882","2024","347",27.1,3.2,".296",".266",34.2,7.5,37.5,"98.353653475","93.258107881",33.1,60.9
"Winn, Masyn","691026","2024","351",18.5,7.1,".321",".289",36.8,2.3,29.5,"97.309890859","92.66154043",17,48.5
"Devers, Rafael","646240","2024","360",23.9,11.7,".406",".394",34.3,15.2,53.9,"105.148473596","97.550533991",28,50.3
"Machado, Manny","592518","2024","376",21,7.2,".319",".320",33,8.1,46.7,"102.736050075","95.734388694",24.9,50.8
"Betts, Mookie","605141","2024","331",10.3,14.2,".390",".376",40.2,6,40.2,"98.9053848","93.787165422",13.9,37.2
"Smith, Will","669257","2024","344",18.3,9.6,".356",".343",38.1,11.9,44.7,"99.799270738","94.29916107",20.1,47
"Profar, Jurickson","595777","2024","393",15,11.7,".380",".366",35,7.4,41.7,"100.610747554","94.610934152",17.9,45.6
"Schwarber, Kyle","656941","2024","394",27.2,16.5,".363",".369",30.1,11.4,55.3,"104.902001364","97.445804703",32.1,39.1
"Albies, Ozzie","645277","2024","381",15.5,6.3,".315",".309",34.8,6.1,32.1,"97.06168","92.618779144",20.5,56.5
"Donovan, Brendan","680977","2024","397",13.4,7.3,".333",".333",36.1,4.9,38.8,"98.621298212","93.50104701",15.2,42.4
"Chourio, Jackson","694192","2024","300",23.3,7,".296",".296",30.1,4.8,43.1,"99.886153077","94.281621063",27.4,49.6
"Pasquantino, Vinnie","686469","2024","384",13.3,8.3,".312",".341",32.7,7.4,46.1,"100.967215705","94.9140867",15.2,45.6
"Ohtani, Shohei","660271","2024","429",21.7,11.9,".433",".458",39.3,20,60,"106.551853571","98.686113405",28.8,46.5
"Castellanos, Nick","592206","2024","401",22.7,6.7,".296",".316",36.1,8.6,39.3,"99.418533357","93.824023047",31.5,58.6
"Burleson, Alec","676475","2024","340",13.5,4.1,".349",".338",35.6,7.6,41.2,"99.482886397","94.106802804",20.4,56.6
"Altuve, Jose","514888","2024","415",19.3,6,".355",".321",37.9,6.9,31.7,"97.3086812","92.68535505",21.6,52.4
"Smith, Josh","669701","2024","339",19.2,9.4,".379",".317",34.4,3.5,35.2,"98.071318839","93.109979731",21.3,45.6
"McCutchen, Andrew","457705","2024","351",26.2,11.7,".318",".345",36.2,12.2,39,"99.823230654","94.042317324",29.5,42.5
"Duran, Jarren","680776","2024","439",22.3,7.7,".353",".344",34.9,8.9,45.7,"102.497077181","95.74319604",24.6,46.7
